,PROVINCE,MKT_CAP_CSRC,PB_LYR
600158.SH,天津,7357372452.56,4.151130952654563
600977.SH,北京,25204500000.0,2.1016215591496694
603035.SH,江苏省,3220000000.0,1.1129715120684323
002594.SZ,广东省,108389679871.90001,2.87318187383
600161.SH,北京,36713282261.84,9.320700167512484
600795.SH,辽宁省,38907787733.1,0.7214282011234334
300450.SZ,江苏省,34438105768.899994,8.038474021932537
601901.SH,湖南省,59600414099.80001,1.5745338024750084
000977.SZ,山东省,61636663008.83,6.196437079029677
601678.SH,山东省,7088796000.0,1.117679780714159
002128.SZ,内蒙古自治区,15430235148.789999,0.955531231462704
000799.SZ,湖南省,11294531344.8,4.647086443256072
002475.SZ,广东省,253818118417.5,12.50543840878972
300059.SZ,上海,123567199251.99998,5.825209750927456
600801.SH,湖北省,46751182025.394,2.718519777560688
603105.SH,浙江省,4750000000.0,3.272717885314652
600478.SH,湖南省,6497395846.9800005,2.5889314531395007
600217.SH,陕西省,8109773126.880001,4.490579088558095
000333.SZ,广东省,394279993853.95,3.8780686514941607
000066.SZ,广东省,39091230407.549995,4.712182732152096
600728.SH,广东省,16460410471.800003,3.3842686228324035
601669.SH,北京,55994468187.84001,0.5206846882038747
600282.SH,江苏省,14768557848.81,0.8802970275865688
601699.SH,山西省,17021118348.000002,0.6818554743310252
601186.SH,北京,112271676080.0,0.6312465747112943
601111.SH,北京,69336437474.16,1.0816835518397079
601857.SH,北京,723791687846.46,0.6650406703267391
601727.SH,上海,57731087457.840004,1.1338182933046164
601211.SH,上海,125368904751.84,1.0806034328372731
600316.SH,江西省,9329659801.119999,1.8793642996412685
600823.SH,上海,15792418378.81,0.6221577803340231
600811.SH,黑龙江省,14152535032.44,0.6734094750242783
300531.SZ,广东省,5478981067.84,4.419236060341036
600030.SH,广东省,253646039196.78,1.905122393442845
600406.SH,江苏省,92438816360.0,3.0284910011648267
601229.SH,上海,115499078331.00003,0.716155442605608
300661.SZ,北京,37162827029.25,33.31677230295992
600233.SH,辽宁省,39524062784.119995,3.0653864881887536
