index,年振幅,区间换,非系统,波动率,duvol
600745.SH,88.32432432432434,650.5849272103533,0.08997446930719907,68.42071229516516,-36.425183190350985
002675.SZ,32.65052762259468,425.2151174967553,0.04906385682440422,37.31896306589906,-74.04393032502139
601688.SH,20.384047267355974,262.67578437473685,0.030505534982962223,36.062103968751906,-20.245478675603394
002044.SZ,31.69912693082605,209.3711443612066,0.047734410701417665,38.74007939395945,-35.92037822508656
000425.SZ,42.96160877513711,304.8041334980523,0.03820767515504505,36.69851298963917,-79.53701403146691
002475.SZ,48.57534246575343,321.0156524101793,0.05368515190135983,43.108161112082456,-36.75105511734147
601398.SH,19.047619047619037,14.612836318867037,0.01516477946360126,13.61126579463596,1.258512970263599
002405.SZ,52.60869565217391,948.848281139141,0.04770590018400106,44.60171958020718,-23.54058589471447
002410.SZ,60.50618010594467,220.54493268761232,0.04188667882688798,30.68690394457814,-12.022839613098618
603816.SH,33.785261316422485,283.8247436676103,0.03520927063950167,36.775074318993205,-5.661010977086321
