,股票代码,股票简称,基本每股收益(元)2019.03.31,基本每股收益(元)2018.12.31,基本每股收益(元)2018.09.30,基本每股收益(元)2018.06.30,基本每股收益(元)2017.12.31,账面市值比(%)2019.05.10,总市值(元)2019.05.10,城市,省份
195,000622.SZ,恒立实业,0,0.01,0,-0.01,-0.06,0.09,2321733960,岳阳市,湖南省
196,000623.SZ,吉林敖东,0.55,0.8,0.77,0.52,1.6,1.05,19790558167,延边朝鲜族自治州,吉林省
197,000625.SZ,长安汽车,-0.44,0.14,0.24,0.34,1.49,1.32,34155716368,江北区,重庆市
198,000626.SZ,远大控股,0.05,0.08,0.04,-0.06,-0.32,0.77,5222456557,连云港市,江苏省
199,000627.SZ,天茂集团,0.07,0.27,0.2,0.17,0.3,0.49,32163495864,荆门市,湖北省
200,000628.SZ,高新发展,0.06,0.18,0.04,0.04,0.08,0.25,3170866400,成都市,四川省
201,000629.SZ,攀钢钒钛,0.09,0.36,0.24,0.13,0.1,0.36,28861547239,攀枝花市,四川省
202,000630.SZ,铜陵有色,0.03,0.07,0.06,0.04,0.05,0.68,25368945272,铜陵市,安徽省
203,000631.SZ,顺发恒业,0.09,0.42,0.35,0.31,0.31,0.66,7662435379,长春市,吉林省
204,000632.SZ,三木集团,0.03,0.07,0.03,0.03,0.05,0.1,2150700413,福州市,福建省
205,000633.SZ,合金投资,0,0.01,-0.02,-0.02,-0.06,0.13,2060319096,和田地区,新疆维吾尔自治区
206,000635.SZ,英力特,0.04,0.09,0.29,0.28,0.31,0.97,2764158930,石嘴山市,宁夏回族自治区
207,000636.SZ,风华高科,0.18,1.14,0.99,0.46,0.28,0.53,11181461556,肇庆市,广东省
208,000637.SZ,茂化实华,0.06,0.07,0.05,0.05,0.19,0.27,2770935647,茂名市,广东省
209,000638.SZ,万方发展,-0.01,-0.48,-0.06,-0.05,0.05,0.06,1797614000,沈阳市,辽宁省
210,000639.SZ,西王食品,0.12,0.62,0.43,0.37,0.76,0.49,6677033789,滨州市,山东省
211,000650.SZ,仁和药业,0.12,0.41,0.32,0.2,0.31,0.23,11343195096,南昌市,江西省
212,000651.SZ,格力电器,0.94,4.36,3.51,2.13,3.72,0.17,3.32369E+11,珠海市,广东省
213,000652.SZ,泰达股份,-0.01,0.21,0.05,0.03,0.2,0.67,5607180638,滨海新区,天津市
214,000655.SZ,金岭矿业,0.05,0.17,0.12,0.07,-0.53,0.82,3048141978,淄博市,山东省
215,000656.SZ,金科股份,0.04,0.72,0.4,0.11,0.35,0.54,35829493125,江北区,重庆市
216,000657.SZ,中钨高新,0.04,0.15,0.15,0.12,0.2,0.62,5324705000,海口市,海南省
217,000659.SZ,珠海中富,-0.02,0.02,0.02,0.01,0.07,0.32,4667100148,珠海市,广东省
218,000661.SZ,长春高新,2.15,5.92,4.93,3.22,3.89,0.09,50331115846,长春市,吉林省
219,000662.SZ,天夏智慧,0.05,0.14,0.12,0.15,0.68,0.71,6624172268,梧州市,广西壮族自治区
220,000663.SZ,永安林业,-0.05,-3.9,-0.21,-0.09,0.2,0.39,2247115546,三明市,福建省
221,000665.SZ,湖北广电,0.1,0.29,0.32,0.28,0.53,1.19,5620304646,武汉市,湖北省
222,000666.SZ,经纬纺机,0.26,1.11,0.72,0.43,1.7,0.48,6902722700,大兴区,北京市
223,000667.SZ,美好置业,-0.05,0.1,0.11,0.09,0.26,0.95,7064474836,昆明市,云南省
224,000668.SZ,荣丰控股,0.07,0.06,0.03,0.03,0.07,0.14,2229059890,浦东新区,上海市
225,000669.SZ,金鸿控股,-0.11,-2.33,0.25,0.27,0.49,1.04,3483693041,吉林市,吉林省
226,000670.SZ,*ST盈方,-0.03,-0.22,-0.07,-0.06,-0.41,0.49,2621373826,荆州市,湖北省
227,000671.SZ,阳光城,0.05,0.66,0.39,0.25,0.51,0.69,27418996343,福州市,福建省
228,000672.SZ,上峰水泥,0.45,1.81,1.13,0.63,0.97,0.34,9714621260,白银市,甘肃省
229,000673.SZ,当代东方,-0.03,-2.02,0.12,0.14,0.14,0.14,3759864600,大同市,山西省
230,000676.SZ,智度股份,0.18,0.74,0.6,0.45,0.55,0.49,9598200706,郑州市,河南省
231,000677.SZ,恒天海龙,0,0,0,0,0,0.01,3343594659,潍坊市,山东省
232,000678.SZ,襄阳轴承,-0.03,-0.13,-0.04,-0.01,0.03,0.3,3842354623,襄阳市,湖北省
233,000679.SZ,大连友谊,-0.17,-1.16,-0.45,-0.21,0.04,0.74,1504008000,大连市,辽宁省
234,000680.SZ,山推股份,0.03,0.06,0.07,0.06,0.05,0.87,4925926816,济宁市,山东省
235,000681.SZ,视觉中国,0.08,0.46,0.31,0.2,0.42,0.25,13626231130,常州市,江苏省
236,000682.SZ,东方电子,0.03,0.14,0.08,0.04,0.06,0.48,6877929546,烟台市,山东省
237,000683.SZ,远兴能源,0.06,0.33,0.23,0.16,0.18,0.82,11691359796,鄂尔多斯市,内蒙古自治区
238,000685.SZ,中山公用,0.21,0.47,0.39,0.26,0.72,0.94,12125415305,中山市,广东省
239,000686.SZ,东北证券,0.24,0.13,0.12,0.11,0.28,0.7,20689603769,长春市,吉林省
240,000687.SZ,华讯方舟,-0.03,-0.64,0.07,0.07,0.17,0.19,5792467177,保定市,河北省
241,000688.SZ,国城矿业,0.1,0.36,0.27,0.23,0.36,0.14,13147180070,涪陵区,重庆市
242,000690.SZ,宝新能源,0.11,0.21,0.28,0.22,0.05,0.54,14991867369,梅州市,广东省
243,000691.SZ,亚太实业,0,0.03,0.04,-0.01,-0.03,0.05,1390061000,兰州市,甘肃省
244,000692.SZ,惠天热电,-0.1,0.01,-0.56,-0.37,-0.12,0.64,1721050512,沈阳市,辽宁省
245,000693.SZ,*ST华泽,--,--,-0.29,-0.19,-4.21,--,--,成都市,四川省
246,000695.SZ,滨海能源,0.01,0.16,0.17,-0.06,0.04,0.14,2248133095,滨海新区,天津市
